Andreas Munch;Munch, Andreas;Symbolae ad historiam antiquiorem rerum Norvegicarum. I. Breve Chronicon Norvegiae. II. Genealogia comitum Orcadiensum. Catalogus regum Norvegiae. E codice quoad magnam partem hactenus inedito, et in orcadibus, ut videtur, medio saeculo XVto concripto;1850;https://urn.nb.no/URN:NBN:no-nb_digibok_2009101610004
Andreas Munch;Munch, Andreas;Norges historie i kortfattet udtog;1852;https://urn.nb.no/URN:NBN:no-nb_digibok_2017111348038
Andreas Munch;Munch, Andreas;Digte og Fortællinger, ældre og nyere;1855;https://urn.nb.no/URN:NBN:no-nb_digibok_2010021603005
Peter Andreas Munch;Munch, Peter Andreas;Nordens gamle Gude- og Helte-Sagn i kortfattet Femstilling;1840;https://urn.nb.no/URN:NBN:no-nb_digibok_2009110512007
Conrad Nicolai Schwach;Schwach, Conrad Nicolai;Samlede Digte. Tredie Bind;1846;https://urn.nb.no/URN:NBN:no-nb_digibok_2018032048038
Henrik Wergeland;Wergeland, Henrik;Sinclars Død : et Sørgespil i tre Acter;1828;https://urn.nb.no/URN:NBN:no-nb_digibok_2011062208091
Henrik Wergeland;Wergeland, Henrik;Sinclars Død : et Sørgespil i tre Acter;1828;https://urn.nb.no/URN:NBN:no-nb_digibok_2011062208091
Henrik Wergeland;Wergeland, Henrik;Phantasmer : efter Ravnekrog-Poetens Manuscript. Først i det Maroccanske, oversatte af Barbarossa, Politiemester i Salée, saa i det Spanske, oversatte af Grev d'AEspanna, Gouverneur i Catalonien, saa i det Portugisiske, oversatte af Barbeer Pires, Marquis Qveluz, hvorefter de, udi det Norske, til Lyst og Fornøielse, overførte ere af Siful pro Patria Sifadda, Velmeritered Baccalaurens. Hermed et Steentryk;1829;https://urn.nb.no/URN:NBN:no-nb_digibok_2017032026006
Henrik Wergeland;Wergeland, Henrik;Phantasmer : efter Ravnekrog-Poetens Manuscript. Først i det Maroccanske, oversatte af Barbarossa, Politiemester i Salée, saa i det Spanske, oversatte af Grev d'AEspanna, Gouverneur i Catalonien, saa i det Portugisiske, oversatte af Barbeer Pires, Marquis Qveluz, hvorefter de, udi det Norske, til Lyst og Fornøielse, overførte ere af Siful pro Patria Sifadda, Velmeritered Baccalaurens. Hermed et Steentryk;1829;https://urn.nb.no/URN:NBN:no-nb_digibok_2017032026006
Henrik Wergeland;Wergeland, Henrik;Phantasmer : efter Ravnekrog-Poetens Manuscript. Først i det Maroccanske, oversatte af Barbarossa, Politiemester i Salée, saa i det Spanske, oversatte af Grev d'AEspanna, Gouverneur i Catalonien, saa i det Portugisiske, oversatte af Barbeer Pires, Marquis Qveluz, hvorefter de, udi det Norske, til Lyst og Fornøielse, overførte ere af Siful pro Patria Sifadda, Velmeritered Baccalaurens. Hermed et Steentryk;1829;https://urn.nb.no/URN:NBN:no-nb_digibok_2017032026006
Henrik Wergeland;Wergeland, Henrik;Phantasmer : efter Ravnekrog-Poetens Manuscript. Først i det Maroccanske, oversatte af Barbarossa, Politiemester i Salée, saa i det Spanske, oversatte af Grev d'AEspanna, Gouverneur i Catalonien, saa i det Portugisiske, oversatte af Barbeer Pires, Marquis Qveluz, hvorefter de, udi det Norske, til Lyst og Fornøielse, overførte ere af Siful pro Patria Sifadda, Velmeritered Baccalaurens. Hermed et Steentryk;1829;https://urn.nb.no/URN:NBN:no-nb_digibok_2017032026006
